股票代码,股票名称,当前价,涨跌幅,年初至今,换手率,市盈率(TTM),股息率,市值,52周最低,52周最高
688129,N东来,34.0,123.39,123.39,72.25,55.64,None,928146484.0,32.3,38.47
300479,神思电子,21.94,20.02,38.52,9.87,288.685,0.137,3680698807.0,13.3733,21.94
300582,英飞特,23.62,20.02,100.02,39.6,39.685,0.25,3181548242.0,9.9383,23.62
300516,久之洋,45.23,20.01,52.71,9.9,147.561,0.155,8141400000.0,25.2195,45.23
300593,新雷能,27.6,20.0,52.48,27.61,56.875,0.181,3236246446.0,13.0569,27.6
300466,赛摩智能,9.48,20.0,61.77,30.06,-27.153,0.0,3570285647.0,3.92,9.48
300895,铜牛信息,78.9,20.0,523.72,54.59,134.393,0.051,1814672701.0,52.32,78.9
300898,熊猫乳品,77.52,20.0,619.11,81.55,144.736,0.967,2050903074.0,40.0,88.0
300712,永福股份,20.9,19.98,81.24,27.64,62.31,0.478,1640634200.0,9.2273,20.9
300141,和顺电气,12.68,19.96,90.33,11.5,-2368.613,0.119,2099686513.0,5.4734,13.37
300826,测绘股份,45.9,13.25,100.61,43.7,45.911,0.0,918000000.0,27.46,55.88
300279,和晶科技,8.79,12.69,46.5,36.59,-366.873,0.0,3863523699.0,4.65,9.36
300491,通合科技,18.97,11.07,45.81,16.45,303.102,0.0,2304739416.0,10.7,22.95
688129,N东来,34.0,123.39,123.39,72.25,55.64,None,928146484.0,32.3,38.47
